Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
43197-1,Disney,Frozen,The Ice Castle,1709.0,219.99
80045-1,Monkie Kid,Season 4,Monkey King Ultra Mech,1705.0,159.99
75144-1,Star Wars,Ultimate Collector Series,Snowspeeder,1703.0,199.99
11022-1,Classic,Miscellaneous,Space Mission,1700.0,69.99
10258-1,Creator Expert,Vehicles,London Bus,1686.0,139.99
75095-1,Star Wars,Ultimate Collector Series,TIE Fighter,1685.0,199.99
21042-1,Architecture,Landmark Series,Statue of Liberty,1685.0,119.99
60097-1,City,Town,City Square,1683.0,189.99
41704-1,Friends,Heartlake City,Main Street Building,1682.0,159.99
10290-1,Icons,Vehicles,Pickup Truck,1677.0,129.99
42125-1,Technic,Licensed,Ferrari 488 GTE 'AF Corse #51',1677.0,199.99
75275-1,Star Wars,Ultimate Collector Series,A-wing Starfighter,1673.0,199.99
76393-1,Harry Potter,Characters,Harry Potter & Hermione Granger,1673.0,119.99
10144-1,Star Wars,Episode IV,Sandcrawler,1669.0,139.99
10210-1,Advanced models,Miscellaneous,Imperial Flagship,1664.0,179.99
80105-1,Seasonal,Chinese Traditional Festival,Chinese New Year Temple Fair,1664.0,119.99
70655-1,Ninjago,Hunted,Dragon Pit,1660.0,129.99
80111-1,Seasonal,Chinese Traditional Festival,Lunar New Year Parade,1653.0,129.99
42171-1,Technic,Licensed,Mercedes-AMG F1 W14 E Performance,1642.0,219.99
42113-1,Technic,Licensed,Bell-Boeing V-22 Osprey,1636.0,149.99
42030-1,Technic,Licensed,Volvo L350F Wheel Loader,1636.0,249.99
80012-1,Monkie Kid,A Hero is Born,Monkey King Warrior Mech,1629.0,149.99
70912-1,The LEGO Batman Movie,,Arkham Asylum,1628.0,149.99
10187-1,Advanced models,Vehicles,Volkswagen Beetle,1626.0,119.99
10937-1,DC Comics Super Heroes,Batman,Batman: Arkham Asylum Breakout,1619.0,159.99
910010-1,Bricklink,2021 Designer Program,The Great Fishing Boat,1609.0,129.99
21334-1,Ideas,,Jazz Quartet,1606.0,99.99
11020-1,Classic,Miscellaneous,Build Together,1601.0,99.99
10193-1,Castle,Fantasy Era,Medieval Market Village,1601.0,99.99
21128-1,Minecraft,Minifig-scale,The Village,1600.0,199.99
42180-1,Technic,Space,Mars Crew Exploration Rover,1599.0,149.99
41999-1,Technic,,4x4 Crawler Exclusive Edition ,1585.0,199.99
80044-1,Monkie Kid,Season 4,Monkie Kid's Team Hideout,1582.0,139.99
42096-1,Technic,Licensed,Porsche 911 RSR,1580.0,179.99
10223-1,Castle,Kingdoms,Kingdoms Joust,1575.0,119.99
10240-1,Star Wars,Ultimate Collector Series,Red Five X-wing Starfighter,1559.0,199.99
41101-1,Friends,Heartlake City,Heartlake Grand Hotel,1552.0,129.99
77015-1,Indiana Jones,Raiders of the Lost Ark,Temple of the Golden Idol,1545.0,149.99
43227-1,Disney,Disney 100,Villain Icons,1540.0,129.99
4679-2,Creator,,Bricks and Creations,1531.0,20.0
3724-1,Advanced models,Sculptures,LEGO Dragon,1530.0,99.0
80109-1,Seasonal,Chinese Traditional Festival,Lunar New Year Ice Festival,1519.0,119.99
10241-1,Creator Expert,Maersk,Maersk Line Triple-E,1518.0,149.99
60271-1,City,Town,Main Square,1517.0,199.99
10325-1,Icons,Winter Village Collection,Alpine Lodge,1517.0,99.99
10308-1,Icons,Winter Village Collection,Holiday Main Street,1514.0,99.99
41748-1,Friends,Heartlake City,Heartlake City Community Centre,1513.0,139.99
10302-1,Icons,Licensed,Optimus Prime,1508.0,179.99
11717-1,Classic,Bricks,Bricks Bricks Plates,1504.0,69.99
4679-1,Make and Create,,LEGO Strata Blue,1500.0,20.0
11011-1,Classic,Bricks,Bricks and Animals,1500.0,59.99
10717-1,Classic,Bricks,Bricks Bricks Bricks,1500.0,59.99
10697-1,Classic,Miscellaneous,XXXL Box,1500.0,59.99
11032-1,Classic,Creative Fun,Creative Colour Fun,1500.0,64.99
BL19004-1,Bricklink,AFOL Designer Program,Wild West Saloon,1496.0,149.99
42157-1,Technic,Licensed,John Deere 948L-II Skidder,1492.0,199.99
10229-1,Advanced models,Winter Village Collection,Winter Village Cottage,1490.0,99.99
9314-1,Education,,Rescue Services Set,1490.0,149.95
10227-1,Star Wars,Ultimate Collector Series,B-wing Starfighter,1487.0,199.99
8461-1,Racers,Williams F1,Williams F1 Team Racer,1484.0,129.99
21054-1,Architecture,Landmark Series,The White House,1483.0,99.99
42159-1,Technic,Licensed,Yamaha MT-10 SP,1478.0,239.99
10267-1,Creator Expert,Winter Village Collection,Gingerbread House,1477.0,99.99
21058-1,Architecture,Landmark Series,The Great Pyramid of Giza,1476.0,129.99
70425-1,Hidden Side,,Newbury Haunted High School,1474.0,129.99
10134-1,Star Wars,Ultimate Collector Series,Y-wing Attack Starfighter,1473.0,120.0
10265-1,Creator Expert,Vehicles,Ford Mustang,1471.0,169.99
42154-1,Technic,Licensed,2022 Ford GT,1466.0,119.99
80023-1,Monkie Kid,Season 2,Monkie Kid's Team Dronecopter,1462.0,149.99
21347-1,Ideas,Licensed,Red London Telephone Box,1460.0,114.99
31141-1,Creator,3 in 1,Main Street,1459.0,139.99
10295-1,Icons,Vehicles,Porsche 911,1458.0,169.99
10129-1,Star Wars,Ultimate Collector Series,Rebel Snowspeeder,1457.0,130.0
10304-1,Icons,Vehicles,Chevrolet Camaro Z/28 1969,1456.0,169.99
70917-1,The LEGO Batman Movie,,The Ultimate Batmobile,1456.0,139.99
40174-1,Miscellaneous,Games,LEGO Chess,1450.0,64.99
7709-1,Exo-Force,,Sentai Fortress,1448.0,100.0
10293-1,Icons,Winter Village Collection,Santa's Visit,1445.0,99.99
BL19008-1,Bricklink,AFOL Designer Program,The LEGO Story,1442.0,99.99
8448-1,Technic,,Super Street Sensation,1437.0,130.0
42141-1,Technic,Licensed,McLaren Formula 1 Race Car,1432.0,199.99
8458-1,Technic,,Silver Champion,1431.0,170.0
80016-1,Monkie Kid,Season 1,The Flaming Foundry,1427.0,139.99
31120-1,Creator,3 in 1,Medieval Castle,1426.0,99.99
70357-1,Nexo Knights,Season 4,Knighton Castle,1426.0,129.99
60434-1,City,Space,Space Base and Rocket Launchpad,1422.0,134.99
75190-1,Star Wars,Episode VIII,First Order Star Destroyer,1416.0,159.99
75212-1,Star Wars,Solo,Kessel Run Millennium Falcon,1414.0,169.99
10198-1,Star Wars,Episode IV,Tantive IV,1408.0,149.99
80038-1,Monkie Kid,Season 3,Monkie Kid's Team Van,1406.0,129.99
70617-1,The LEGO Ninjago Movie,,Temple of the Ultimate Ultimate Weapon,1403.0,99.99
42042-1,Technic,,Crawler Crane,1401.0,149.99
71767-1,Ninjago,Core,Ninja Dojo Temple,1394.0,99.99
75357-1,Star Wars,Ahsoka,Ghost & Phantom II,1394.0,159.99
BL19006-1,Bricklink,AFOL Designer Program,Eight Studs,1393.0,99.99
71469-1,Dreamzzz,Trials of the Dream Chasers,Nightmare Shark Ship,1389.0,139.99
8275-1,Technic,,Motorized Bulldozer,1384.0,149.99
42126-1,Technic,Licensed,Ford F-150 Raptor,1379.0,99.99
910011-1,Bricklink,2021 Designer Program,1950s Diner,1379.0,129.99
75189-1,Star Wars,Episode VIII,First Order Heavy Assault Walker,1376.0,149.99
80028-1,Monkie Kid,Season 2,The Bone Demon,1375.0,119.99
10327-1,Icons,Licensed,Dune Atreides Royal Ornithopter,1369.0,164.99
9474-1,The Lord of the Rings,The Two Towers,The Battle of Helm's Deep,1368.0,129.99
8480-1,Technic,,Space Shuttle,1368.0,158.0
6211-1,Star Wars,Episode IV,Imperial Star Destroyer,1367.0,99.99
21324-1,Ideas,Licensed,123 Sesame Street,1367.0,119.99
9594-1,Education,Mindstorms,Green City Challenge Set,1365.0,174.95
42181-1,Technic,Space,VTOL Heavy Cargo Spaceship LT81,1365.0,109.99
10315-1,Icons,Miscellaneous,Tranquil Garden,1363.0,109.99
76105-1,Marvel Super Heroes,Avengers: Age of Ultron,The Hulkbuster: Ultron Edition,1363.0,119.99
42127-1,Technic,Licensed,The Batman -  Batmobile,1360.0,99.99
8653-1,Racers,Ferrari,Enzo Ferrari 1:10,1360.0,100.0
75055-1,Star Wars,Episode IV,Imperial Star Destroyer,1359.0,129.99
80035-1,Monkie Kid,Season 3,Monkie Kid's Galactic Explorer,1356.0,129.99
10230-1,Promotional,Gift with Purchase,Mini Modulars,1356.0,79.99
10233-1,Creator Expert,Trains,Horizon Express,1351.0,129.99
75257-1,Star Wars,Episode IX,Millennium Falcon,1351.0,169.99
41737-1,Friends,Beach,Beach Amusement Park,1348.0,119.99
5525-1,Factory,,Amusement Park,1344.0,70.0
8880-1,Technic,,Super Car,1343.0,130.0
75315-1,Star Wars,The Mandalorian,Imperial Light Cruiser,1336.0,159.99
10220-1,Advanced models,Vehicles,Volkswagen T1 Camper Van,1334.0,119.99
7662-1,Star Wars,Episode I,Trade Federation MTT,1330.0,99.99
75105-1,Star Wars,Episode VII,Millennium Falcon,1329.0,149.99
42064-1,Technic,,Ocean Explorer,1327.0,119.99
8145-1,Racers,Ferrari,Ferrari 599 GTB Fiorano 1:10,1327.0,109.99
9398-1,Technic,,4x4 Crawler,1327.0,199.99
21328-1,Ideas,Licensed,Seinfeld,1326.0,79.99
71423-1,Super Mario,Expansion Set,Dry Bowser Castle Battle,1321.0,109.99
41684-1,Friends,Heartlake City,Heartlake City Grand Hotel,1308.0,99.99
9397-1,Technic,,Logging Truck,1308.0,139.99
BL19005-1,Bricklink,AFOL Designer Program,Isle of Peril,1301.0,99.99
70146-1,Legends of Chima,Fire vs. Ice,Flying Phoenix Fire Temple,1301.0,119.99
7191-1,Star Wars,Ultimate Collector Series,X-wing Fighter,1300.0,150.0
42025-1,Technic,,Cargo Plane,1297.0,139.99
6753-1,Creator,3 in 1,Highway Transport,1294.0,89.99
42108-1,Technic,,Mobile Crane,1292.0,99.99
10262-1,Creator Expert,Vehicles,James Bond Aston Martin DB5,1290.0,149.99
4842-1,Harry Potter,Deathly Hallows,Hogwarts Castle,1290.0,129.99
8053-1,Technic,,Mobile Crane,1289.0,99.99
8070-1,Technic,,Super Car,1281.0,119.99
8479-1,Technic,,Barcode Multi-Set,1280.0,164.0
4997-1,Creator,3 in 1,Transport Ferry,1279.0,69.99
BL19002-1,Bricklink,AFOL Designer Program,Antique Fire Engine,1278.0,149.99
60125-1,City,Volcano Explorers,Volcano Heavy-Lift Helicopter,1277.0,149.99
42008-1,Technic,,Service Truck,1276.0,129.99
10277-1,Icons,Trains,Crocodile Locomotive,1271.0,99.99
75288-1,Star Wars,Episode V,AT-AT,1267.0,169.99
21326-1,Ideas,Licensed,Winnie the Pooh,1265.0,99.99
31109-1,Creator,3 in 1,Pirate Ship,1264.0,119.99
10235-1,Creator Expert,Winter Village Collection,Winter Village Market,1261.0,99.99
70010-1,Legends of Chima,The Power of the CHI,The Lion CHI Temple,1258.0,119.99
71461-1,Dreamzzz,Trials of the Dream Chasers,Fantastical Tree House,1257.0,109.99
7965-1,Star Wars,Episode IV,Millennium Falcon,1254.0,139.99
10497-1,Icons,Space System,Galaxy Explorer,1254.0,99.99
70738-1,Ninjago,Possession,Final Flight of Destiny's Bounty,1253.0,119.99
70596-1,Ninjago,Day of the Departed,Samurai X Cave Chaos,1253.0,119.99
SAMSONITE-14,Samsonite,Basic set,1252 Piece Motorized Basic Set,1252.0,19.9899
21188-1,Minecraft,Minifig-scale,The Llama Village,1252.0,129.99
41375-1,Friends,Amusement Park,Heartlake City Amusement Pier,1251.0,129.99
60162-1,City,Jungle,Jungle Air Drop Helicopter,1250.0,149.99
10190-1,Advanced models,Modular Buildings Collection,Market Street,1248.0,89.99
8674-1,Racers,Ferrari,Ferrari F1 Racer 1:8,1246.0,139.99
76153-1,Marvel Super Heroes,Avengers,Avengers Helicarrier,1244.0,119.99
SAMSONITE-3,Samsonite,Basic set,1241 Piece Basic Set,1241.0,16.9899
75220-1,Star Wars,Episode IV,Sandcrawler,1239.0,139.99
42604-1,Friends,Heartlake City,Heartlake City Shopping Mall,1237.0,119.99
10219-1,Advanced models,Trains,Maersk Train,1234.0,119.99
10231-1,Advanced models,Space,Shuttle Expedition,1230.0,99.99
60198-1,City,Trains,Cargo Train,1226.0,229.99
70728-1,Ninjago,Rebooted,Battle for Ninjago City,1223.0,119.99
76989-1,Icons,Licensed,Horizon Forbidden West: Tallneck,1222.0,89.99
42039-1,Technic,,24 Hours Race Car,1219.0,129.99
70678-1,Ninjago,Secrets of the Forbidden Spinjitzu,Castle of the Forsaken Emperor,1218.0,99.99
71408-1,Super Mario,Expansion Set,Princess Peach's Castle,1216.0,129.99
75106-1,Star Wars,Rebels,Imperial Assault Carrier,1216.0,129.99
76956-1,Jurassic World,Jurassic Park,T. rex Breakout,1212.0,99.99
75574-1,Avatar,Original Film,Toruk Makto & Tree of Souls,1212.0,149.99
10175-1,Star Wars,Ultimate Collector Series,Vader's TIE Advanced,1212.0,99.99
71819-1,Ninjago,Dragons Rising Season 2,Dragon Stone Shrine,1212.0,119.99
60200-1,City,Town,Capital City,1211.0,149.99
21050-1,Architecture,Miscellaneous,Studio,1210.0,159.99
10321-1,Icons,Vehicles,Corvette,1210.0,149.99
BL19007-1,Bricklink,AFOL Designer Program,Science Tower,1204.0,129.99
70173-1,Ultra Agents,,Ultra Agents Ocean HQ,1204.0,99.99
10213-1,Advanced models,Space,Shuttle Adventure,1204.0,99.99
70632-1,The LEGO Ninjago Movie,,Quake Mech,1202.0,89.99
3026-1,Basic,,Limited Edition Silver Brick Tub,1201.0,20.0
3033-1,Basic,,Special Value Blue Tub,1200.0,20.0
11016-1,Classic,Bricks,Creative Building Bricks,1200.0,49.99
21045-1,Architecture,Landmark Series,Trafalgar Square,1197.0,79.99
10275-1,Icons,Winter Village Collection,Elf Club House,1197.0,99.99
10177-1,Advanced models,Aircraft,Boeing 787 Dreamliner,1197.0,79.99
31132-1,Creator,3 in 1,Viking Ship and the Midgard Serpent,1192.0,119.99
71813-1,Ninjago,Dragons Rising Season 2,Wolf Mask Shadow Dojo,1190.0,119.99
21017-1,Architecture,Architect Series,Imperial Hotel,1188.0,129.99
70835-1,The LEGO Movie 2,,Rex's Rexplorer!,1187.0,119.99
70323-1,Nexo Knights,Season 2,Jestro's Volcano Lair,1186.0,119.99
2000451-1,Education,,The Panama Canal,1184.0,249.99
8295-1,Technic,,Telescopic Handler,1182.0,89.99
9303-1,Education,,Airport Set,1180.0,89.0
70654-1,Ninjago,Hunted,Dieselnaut,1179.0,109.99
70677-1,Ninjago,Secrets of the Forbidden Spinjitzu,Land Bounty,1178.0,129.99
75253-1,Star Wars,Boost,Droid Commander,1177.0,199.99
76389-1,Harry Potter,Chamber of Secrets,Hogwarts Chamber of Secrets,1176.0,149.99
75021-1,Star Wars,Episode II,Republic Gunship,1175.0,119.99
2507-1,Ninjago,Pilot Season,Fire Temple,1174.0,119.99
4954-1,Creator,3 in 1,Model Town House,1174.0,69.99
10289-1,Icons,Botanical Collection,Bird of Paradise,1173.0,99.99
5591-1,Model Team,,Mach II Red Bird Rig,1172.0,110.0
71722-1,Ninjago,Master of the Mountain,Skull Sorcerer's Dungeons,1171.0,99.99
80112-1,Seasonal,Chinese Traditional Festival,Auspicious Dragon,1171.0,89.99
80022-1,Monkie Kid,Season 2,Spider Queen's Arachnoid Base,1170.0,119.99
8039-1,Star Wars,The Clone Wars,Venator-class Republic Attack Cruiser,1170.0,119.99
42081-1,Technic,Licensed,Volvo Concept Wheel Loader ZEUX,1167.0,139.99
10252-1,Creator Expert,Vehicles,Volkswagen Beetle,1167.0,99.99
42053-1,Technic,Licensed,Volvo EW160E,1166.0,119.99
10263-1,Creator Expert,Winter Village Collection,Winter Village Fire Station,1166.0,99.99
21336-1,Ideas,Licensed,The Office,1164.0,119.99
42112-1,Technic,,Concrete Mixer Truck,1163.0,119.99
71756-1,Ninjago,Seabound,Hydro Bounty,1159.0,139.99
10248-1,Creator Expert,Vehicles,Ferrari F40,1158.0,99.99
71425-1,Super Mario,Expansion Set,Diddy Kong's Mine Cart Ride,1157.0,109.99
75919-1,Jurassic World,,Indominus Rex Breakout,1156.0,129.99
41806-1,Dots,Miscellaneous,Ultimate Party Kit,1154.0,49.99
41714-1,Friends,Heartlake City,Andrea's Theatre School,1154.0,99.99
8635-1,Agents,,Mobile Command Centre,1154.0,89.99
60336-1,City,Trains,Freight Train,1153.0,199.99
71391-1,Super Mario,Expansion Set,Bowser's Airship,1152.0,99.99
42066-1,Technic,,Air Race Jet,1151.0,159.99
45100-1,Education,,StoryStarter Core Set,1147.0,115.95
8098-1,Star Wars,The Clone Wars,Clone Turbo Tank,1141.0,119.99
42000-1,Technic,,Grand Prix Racer,1141.0,129.99
70317-1,Nexo Knights,Season 1,The Fortrex,1140.0,99.99
75054-1,Star Wars,Episode V,AT-AT,1137.0,109.99
70627-1,Ninjago,The Hands of Time,Dragon's Forge,1137.0,79.99
10178-1,Star Wars,Episode V,Motorized Walking AT-AT,1137.0,129.99
42152-1,Technic,,Firefighter Aircraft,1134.0,99.99
42158-1,Technic,Licensed,NASA Mars Rover Perseverance,1132.0,99.99
42620-1,Friends,Houses,Olly and Paisley's Family Houses,1126.0,99.99
21331-1,Ideas,Licensed,Sonic the Hedgehog - Green Hill Zone,1125.0,79.99
41130-1,Friends,Amusement Park,Amusement Park Roller Coaster,1124.0,99.99
8043-1,Technic,,Motorized Excavator,1123.0,199.99
21136-1,Minecraft,Minifig-scale,The Ocean Monument,1122.0,119.99
41058-1,Friends,Heartlake City,Heartlake Shopping Mall,1120.0,109.99
8109-1,Technic,,Flatbed Truck,1115.0,99.99
41703-1,Friends,Tree Houses,Friendship Tree House,1114.0,79.99
3185-1,Friends,Horseback Riding,Summer Riding Camp,1112.0,99.99
80011-1,Monkie Kid,A Hero is Born,Red Son's Inferno Truck,1111.0,119.99
21342-1,Ideas,,The Insect Collection,1111.0,79.99
9649-1,Education,,Technology Resource Set,1110.0,55.0
76255-1,Marvel Super Heroes,Guardians of the Galaxy Vol. 3,The New Guardians' Ship,1108.0,99.99
10298-1,Icons,Vehicles,Vespa 125,1106.0,99.99
75187-1,Star Wars,Episode VIII,BB-8,1106.0,99.99
71765-1,Ninjago,Core,Ninja Ultra Combo Mech,1104.0,89.99
8466-1,Technic,,4x4 Off-Roader,1102.0,119.99
9515-1,Star Wars,The Clone Wars,The Malevolence,1101.0,119.99
8063-1,Technic,,Tractor with Trailer,1100.0,99.99
11021-1,Classic,90 Years of Play,90 Years of Play,1100.0,49.99
8297-1,Technic,,Off-Roader,1097.0,119.99
4195-1,Pirates of the Caribbean,On Stranger Tides,Queen Anne's Revenge,1097.0,119.99
60433-1,City,Space,Modular Space Station,1097.0,109.99
41961-1,Dots,Miscellaneous,Designer Toolkit - Patterns,1096.0,64.99
42068-1,Technic,,Airport Rescue Vehicle,1094.0,99.99
70595-1,Ninjago,Day of the Departed,Ultra Stealth Raider,1093.0,99.99
76057-1,Marvel Super Heroes,Spider-Man,Spider-Man: Web Warriors Ultimate Bridge Battle,1092.0,99.99
10266-1,Creator Expert,Space,NASA Apollo 11 Lunar Lander,1087.0,99.99
10186-1,Star Wars,Ultimate Collector Series,General Grievous,1085.0,89.99
10194-1,Advanced models,Trains,Emerald Night,1085.0,99.99
76408-1,Harry Potter,Order of the Phoenix,12 Grimmauld Place,1083.0,119.99
75354-1,Star Wars,The Clone Wars,Coruscant Guard Gunship,1083.0,139.99
75337-1,Star Wars,Episode III,AT-TE Walker,1082.0,139.99
SAMSONITE-2,Samsonite,Basic set,1081 Piece Basic Set,1081.0,12.99
10183-1,Factory,Trains,Hobby Trains,1080.0,100.0
8485-1,Technic,,Control Centre II,1079.0,219.0
41239-1,DC Super Hero Girls,,Eclipso Dark Palace,1078.0,99.99
10242-1,Creator Expert,Vehicles,MINI Cooper MK VII,1077.0,99.99
42111-1,Technic,Licensed,Dom's Dodge Charger,1077.0,119.99
7194-1,Star Wars,Ultimate Collector Series,Yoda,1075.0,99.99
21329-1,Ideas,Licensed,Fender Stratocaster,1074.0,119.99
76423-1,Harry Potter,Philosopher's Stone,Hogwarts Express & Hogsmeade Station,1074.0,129.99
75318-1,Star Wars,The Mandalorian,The Child,1073.0,89.99
41757-1,Friends,Heartlake City,Botanical Garden,1072.0,79.99
7783-1,Batman,,The Batcave: The Penguin and Mr. Freeze's Invasion,1071.0,89.99
21319-1,Ideas,Licensed,Central Perk,1070.0,59.99
70670-1,Ninjago,General,Monastery of Spinjitzu,1070.0,79.99
70732-1,Ninjago,Possession,City of Stiix,1069.0,99.99
10174-1,Star Wars,Ultimate Collector Series,Imperial AT-ST,1068.0,79.99
80106-1,Seasonal,Chinese Traditional Festival,Story of Nian,1067.0,79.99
80108-1,Seasonal,Chinese Traditional Festival,Lunar New Year Traditions,1066.0,79.99
75365-1,Star Wars,Episode IV,Yavin 4 Rebel Base,1066.0,169.99
4483-1,Star Wars,Episode V,AT-AT,1064.0,100.0
4957-1,Creator,3 in 1,Ferris Wheel,1063.0,69.99
910017-1,Bricklink,2021 Designer Program,Kakapo,1063.0,79.99
42029-1,Technic,,Customized Pick-Up Truck,1063.0,99.99
75335-1,Star Wars,Jedi: Fallen Order,BD-1,1062.0,99.99
71427-1,Super Mario,Expansion Set,Larry's and Morton's Airships,1062.0,79.99
8265-1,Technic,,Front Loader,1061.0,79.99
5893-1,Creator,3 in 1,Off-Road Power,1061.0,89.99
71755-1,Ninjago,Seabound,Temple of the Endless Sea,1060.0,99.99
75251-1,Star Wars,Miscellaneous,Darth Vader's Castle,1060.0,129.99
70165-1,Ultra Agents,,Ultra Agents Mission HQ,1060.0,99.99
9396-1,Technic,,Helicopter,1056.0,119.99
75364-1,Star Wars,Ahsoka,New Republic E-wing vs. Shin Hati's Starfighter,1056.0,109.99
60229-1,City,Mars Exploration,Rocket Assembly & Transport,1055.0,149.99
70916-1,The LEGO Batman Movie,,The Batwing,1053.0,89.99
80010-1,Monkie Kid,A Hero is Born,Demon Bull King,1051.0,89.99
75379-1,Star Wars,Miscellaneous,R2-D2,1050.0,99.99
75980-1,Harry Potter,Half-Blood Prince,Attack on the Burrow,1047.0,99.99
70909-1,The LEGO Batman Movie,,Batcave Break-In,1047.0,99.99
SAMSONITE-1,Samsonite,Basic set,1047 Piece Basic Set,1047.0,12.99
60366-1,City,General,Ski and Climbing Centre,1045.0,119.99
7784-1,Batman,,The Batmobile: Ultimate Collectors' Edition,1045.0,70.0
42621-1,Friends,Heartlake City,Heartlake City Hospital,1045.0,109.99
42052-1,Technic,,Heavy Lift Helicopter,1042.0,139.99
40504-1,Promotional,LEGO House,A Minifigure Tribute,1041.0,84.99
41935-1,Dots,Lots of Dots,Lots of DOTS,1040.0,19.99
76156-1,Marvel Super Heroes,Eternals,Rise of the Domo,1040.0,89.99
21346-1,Ideas,,Family Tree,1040.0,79.99
71796-1,Ninjago,Dragons Rising Season 1,Elemental Dragon vs. The Empress Mech,1038.0,129.99
76122-1,DC Comics Super Heroes,Batman,Batcave Clayface Invasion,1038.0,99.99
76035-1,DC Comics Super Heroes,Batman,Jokerland,1037.0,119.99
70437-1,Hidden Side,,Mystery Castle,1035.0,99.99
8289-1,Technic,,Fire Truck,1035.0,74.99
7676-1,Star Wars,The Clone Wars,Republic Attack Gunship,1034.0,119.99
41450-1,Friends,Heartlake City,Heartlake City Shopping Mall,1032.0,99.99
21030-1,Architecture,Landmark Series,United States Capitol Building,1032.0,99.99
71795-1,Ninjago,Dragons Rising Season 1,Temple of the Dragon Energy Cores,1029.0,94.99
8436-1,Technic,,Truck,1027.0,90.0
8274-1,Technic,,Combine Harvester,1025.0,69.99
70828-1,The LEGO Movie 2,,Pop-Up Party Bus,1024.0,79.99
10269-1,Creator Expert,Vehicles,Harley-Davidson Fat Boy,1023.0,99.99
75292-1,Star Wars,The Mandalorian,The Razor Crest,1023.0,139.99
31026-1,Creator,3 in 1,Bike Shop & Cafe,1023.0,89.99
75323-1,Star Wars,The Bad Batch,The Justifier ,1022.0,169.99
43221-1,Disney,Disney 100,100 Years of Disney Animation Icons,1022.0,59.99
8154-1,Racers,Tiny Turbos,Brick Street Customs,1021.0,69.99
42076-1,Technic,,Hovercraft,1020.0,89.99
75930-1,Jurassic World,Fallen Kingdom,Indoraptor Rampage at Lockwood Estate,1019.0,129.99
7019-1,Vikings,,Viking Fortress against the Fafnir Dragon,1019.0,70.0
41347-1,Friends,Beach,Heartlake City Resort,1017.0,99.99
71721-1,Ninjago,Master of the Mountain,Skull Sorcerer's Dragon,1016.0,79.99
43215-1,Disney,Disney 100,The Enchanted Treehouse,1016.0,159.99
