Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
31206-1,Art,Music,The Rolling Stones,1998.0,149.99
75060-1,Star Wars,Ultimate Collector Series,Slave I,1996.0,199.99
10236-1,Star Wars,Ultimate Collector Series,Ewok Village,1990.0,249.99
10184-1,Advanced models,Miscellaneous,Town Plan,1981.0,149.99
42054-1,Technic,Licensed,CLAAS XERION 5000 TRAC VC,1977.0,179.99
92176-1,Ideas,NASA,NASA Apollo Saturn V,1969.0,119.99
21309-1,Ideas,NASA,NASA Apollo Saturn V,1969.0,119.99
75181-1,Star Wars,Ultimate Collector Series,Y-wing Starfighter,1967.0,199.99
80013-1,Monkie Kid,A Hero is Born,Monkie Kid's Team Secret HQ,1959.0,169.99
910001-1,Bricklink,2021 Designer Program,Castle in the Forest,1957.0,179.99
80024-1,Monkie Kid,Season 2,The Legendary Flower Fruit Mountain,1949.0,169.99
75355-1,Star Wars,Ultimate Collector Series,X-wing Starfighter,1949.0,239.99
42130-1,Technic,Licensed,BMW M 1000 RR,1920.0,249.99
9389-1,Education,,Community Starter Set,1907.0,199.99
910031-1,Bricklink,Designer Program Series 1,General Store,1906.0,159.99
76193-1,Marvel Super Heroes,Avengers: Endgame,The Guardians' Ship,1901.0,159.99
75341-1,Star Wars,Ultimate Collector Series,Luke Skywalker's Landspeeder,1890.0,239.99
8421-1,Technic,,Mobile Crane,1884.0,150.0
8258-1,Technic,,Crane Truck,1877.0,149.99
8285-1,Technic,,Tow Truck,1877.0,119.99
10300-1,Icons,Licensed,Back to the Future Time Machine,1872.0,199.99
76023-1,DC Comics Super Heroes,The Dark Knight Trilogy,The Tumbler,1869.0,199.99
10018-1,Star Wars,Ultimate Collector Series,Darth Maul,1868.0,149.99
42070-1,Technic,,6x6 All Terrain Tow Truck,1862.0,289.99
3723-1,Advanced models,Sculptures,LEGO Mini-Figure,1850.0,149.0
70839-1,The LEGO Movie 2,,The Rexcelsior!,1826.0,149.99
80113-1,Seasonal,Chinese Traditional Festival,Family Reunion Celebration,1823.0,129.99
31208-1,Art,Miscellaneous,Hokusai - The Great Wave,1810.0,99.99
43225-1,Disney,The Little Mermaid,The Little Mermaid Royal Clamshell,1808.0,159.99
11033-1,Classic,Miscellaneous,Creative Fantasy Universe,1800.0,89.99
80107-1,Seasonal,Chinese Traditional Festival,Spring Lantern Festival,1793.0,119.99
71705-1,Ninjago,Rise of the Snakes,Destiny's Bounty,1781.0,129.99
42156-1,Technic,Licensed,PEUGEOT 9X8 24H Le Mans Hybrid Hypercar,1775.0,199.99
75255-1,Star Wars,Episode III,Yoda,1771.0,99.99
75244-1,Star Wars,Miscellaneous,Tantive IV,1768.0,199.99
21046-1,Architecture,Landmark Series,Empire State Building,1767.0,129.99
10195-1,Star Wars,The Clone Wars,Republic Dropship with AT-OT,1758.0,249.99
5571-1,Model Team,,Giant Truck,1757.0,139.0
10019-1,Star Wars,Ultimate Collector Series,Rebel Blockade Runner,1747.0,200.0
10244-1,Creator Expert,Fairground Collection,Fairground Mixer,1746.0,149.99
43179-1,Disney,Miscellaneous,Mickey Mouse and Minnie Mouse,1739.0,179.99
71797-1,Ninjago,Dragons Rising Season 1,Destiny's Bounty - Race Against Time,1739.0,159.99
